institution,state,region,ownership,hbcu,predominetly_black_institution,admission_rate,sat_verbal_first_quartile,sat_verbal_median,sat_verbal_third_quartile,sat_math_first_quartile,sat_math_median,sat_math_third_quartile,online_only,n_students,n_students_white,n_students_black,n_students_hispanic,n_students_asian,n_students_native,share_low_income,avg_cost_attendance,tuition_in_state,tuition_out_of_state,completion_rate,completion_rate_white,completion_rate_black,completion_rate_hispanic,completion_rate_asian,completion_rate_native,load_default_rate_2yr,load_default_rate_3yr,mean_earnings_10yr_after,median_earnings_10yr_after
University of California-Los Angeles,CA,8,Public,0,0,0.0857,NA,NA,NA,NA,NA,NA,In-person,32423,0.2573,0.0334,0.2219,0.2949,0.0019,0.4596487328,35689,13401,43473,0.9248,0.9319,0.8416,0.8979,0.9545,0.8095,0.015,0,73200,82511
University of California-Riverside,CA,8,Public,0,0,0.6869,NA,NA,NA,NA,NA,NA,In-person,22842,0.1087,0.032,0.39,0.3673,7e-4,0.4093581002,34100,13874,43946,0.7602,0.7456,0.7167,0.7387,0.828,0.6667,0.046,0,55300,67699
University of California-San Diego,CA,8,Public,0,0,0.2371,NA,NA,NA,NA,NA,NA,In-person,33092,0.1858,0.0165,0.2374,0.3391,8e-4,0.4193763326,35274,14906,44978,0.8773,0.8816,0.7442,0.8215,0.9213,0.4286,0.02,0,69600,84943
University of California-San Francisco,CA,8,Public,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,NA,NA,NA,NA,NA,NA,PS,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003,0,156800,NA
University of California-Santa Barbara,CA,8,Public,0,0,0.2585,NA,NA,NA,NA,NA,NA,In-person,23419,0.3122,0.0187,0.2513,0.1865,0.0011,0.4112134937,36607,14617,44689,0.8567,0.883,0.8072,0.8138,0.8968,0.8571,0.03,0,62400,74915
University of California-Santa Cruz,CA,8,Public,0,0,0.4692,NA,NA,NA,NA,NA,NA,In-person,17502,0.318,0.0186,0.2806,0.2321,0.001,0.3683655536,37707,14240,44312,0.7691,0.7691,0.7037,0.7507,0.7931,0.8333,0.043,0,53800,68396
Sofia University,CA,8,Private for-profit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,11,0.3636,0,0,0.0909,0.2727,PS,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008,0,NA,NA
California Christian College,CA,8,Private nonprofit,0,0,1,NA,NA,NA,NA,NA,NA,In-person,13,0.3077,0.2308,0.3077,0.0769,0,PS,NA,10890,10890,0,0,NA,NA,NA,NA,0.114,NA,PS,NA
Haven University,CA,8,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,26,0,0.1154,0.0385,0.0769,0,NA,NA,7010,7010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
California Institute of the Arts,CA,8,Private nonprofit,0,0,0.2476,NA,NA,NA,NA,NA,NA,In-person,931,0.3512,0.043,0.1418,0.0913,0.0021,0.3377483444,75865,55056,55056,0.6382,0.6341,0.5,0.68,0.5833,0.5,0.041,0,50600,41198
California State University Maritime Academy,CA,8,Public,0,0,0.955,NA,NA,NA,NA,NA,NA,In-person,808,0.4839,0.0272,0.224,0.1089,0.0074,0.2960199005,27186,7116,18996,0.6314,0.7386,0.25,0.5968,0.6522,1,0.053,0,87800,94784
California Western School of Law,CA,8,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014,0,96600,NA
Chapman University,CA,8,Private nonprofit,0,0,0.7252,600,655,700,600,655,700,In-person,7665,0.4933,0.0222,0.179,0.1614,0.0017,0.227050516,78549,60672,60672,0.8363,0.8236,0.75,0.8462,0.9305,1,0.025,0,56600,70070
Charles R Drew University of Medicine and Science,CA,8,Private nonprofit,0,0,0.8046,NA,NA,NA,NA,NA,NA,In-person,238,0.0294,0.3866,0.2857,0.0756,0,0.5806451613,38874,14954,14954,NA,NA,NA,NA,NA,NA,0.048,0,82700,83438
Concordia University-Irvine,CA,8,Private nonprofit,0,0,0.6899,NA,580,NA,NA,565,NA,In-person,1691,0.4175,0.0373,0.2543,0.0952,0.0012,0.3390191898,54221,40180,40180,0.6305,0.7074,0.5238,0.5929,0.5385,0,0.029,0,50800,65083
San Diego Christian College,CA,8,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,328,0.2927,0.0793,0.4024,0.0244,0.0152,0.4638694639,50518,26300,26300,0.3469,0.4545,0,0.35,NA,0,0.046,0,42500,49766
Church Divinity School of the Pacific,CA,8,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.067,0,NA,NA
Claremont Graduate University,CA,8,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011,0,71400,64372
Claremont McKenna College,CA,8,Private nonprofit,0,0,0.1035,710,725,760,730,750,790,In-person,1383,0.3543,0.0593,0.1634,0.1555,7e-4,0.2535211268,78723,60715,60715,0.9128,0.9296,1,0.907,0.8421,NA,0.023,0,93200,104736
University of Silicon Valley,CA,8,Private for-profit,0,0,0.6466,NA,NA,NA,NA,NA,NA,In-person,373,0.2735,0.0912,0.2279,0.2011,0.0134,0.4212328767,36955,22480,22480,0.4381,0.4138,0.125,0.4783,0.5152,NA,0.095,0,60400,51017
Western University of Health Sciences,CA,8,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0,108100,NA
Columbia College Hollywood,CA,8,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,291,0.3952,0.1615,0.1168,0.0653,0.0241,0.3558558559,38107,26175,26175,0.4786,0.5208,0.2632,0.4444,1,1,0.033,0,39500,42014
Cypress College,CA,8,Public,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,11865,0.1252,0.0381,0.528,0.2273,0.0019,0.6860141358,13843,1146,9090,0.3358,0.375,0.2,0.2634,0.4474,0.3333,0.142,0,41100,43533
Design Institute of San Diego,CA,8,Private for-profit,0,0,1,NA,NA,NA,NA,NA,NA,In-person,90,0.4667,0.0889,0.2,0.1667,0.0222,0.5147058824,36656,27875,27875,0.75,1,NA,0,NA,NA,0.045,0,42300,46920
Dharma Realm Buddhist University,CA,8,Private nonprofit,0,0,0.5455,NA,NA,NA,NA,NA,NA,In-person,0,0,0,0,0,0,NA,NA,21000,21000,1,NA,NA,NA,1,NA,NA,NA,NA,NA
Dominican University of California,CA,8,Private nonprofit,0,0,0.9318,520,579,623,568,590,613,In-person,1139,0.2529,0.0518,0.2792,0.3143,0.0026,0.2310606061,67130,49426,49426,0.7893,0.7079,0.9,0.7667,0.9434,1,0.032,0,63600,84713
Dominican School of Philosophy & Theology,CA,8,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0,NA,NA
Emperor's College of Traditional Oriental Medicine,CA,8,Private for-profit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.078,0,NA,NA
Empire College,CA,8,Private for-profit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,NA,NA,NA,NA,NA,NA,0.6677631579,NA,NA,NA,0.5098,0.4211,0.5,0.5667,NA,NA,0.11,0,33700,43090
FIDM-Fashion Institute of Design & Merchandising,CA,8,Private for-profit,0,0,0.4171,NA,NA,NA,NA,NA,NA,In-person,1780,0.2949,0.0837,0.2646,0.1157,0.0112,0.3573667712,54330,32645,32645,0.75,0.775,0.7895,0.7391,0.9048,1,0.049,0,42400,49840
Feather River Community College District,CA,8,Public,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,1243,0.4039,0.1102,0.2727,0.0257,0.0322,0.5781584582,15677,1461,9531,0.4,0.4066,0.2308,0.3714,0.6667,0.4,0.134,0,34600,38142
Fielding Graduate University,CA,8,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.024,0,NA,NA
Five Branches University,CA,8,Private for-profit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,NA,NA,NA,NA,NA,NA,PS,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011,0,PS,NA
Foothill College,CA,8,Public,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,10193,0.2862,0.0348,0.3215,0.2329,0.0026,0.6567349472,15403,1565,11510,0.5699,0.6258,0.5882,0.3487,0.672,NA,0.111,0,58300,57072
Franciscan School of Theology,CA,8,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.111,0,NA,NA
Fresno Pacific University,CA,8,Private nonprofit,0,0,0.75,NA,550,NA,NA,555,NA,In-person,1743,0.202,0.0574,0.6145,0.0448,0.0057,0.4662084765,41576,34188,34188,0.5024,0.7167,0.5333,0.4138,0.3846,1,0.039,0,45600,58896
Fuller Theological Seminary,CA,8,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,NA,NA,NA,NA,NA,NA,PS,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.024,0,PS,NA
Glendale Career College,CA,8,Private for-profit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,661,0.239,0.0635,0.2496,0.1936,0.0166,0.6691648822,NA,NA,NA,0.6558,0.6375,0.6923,0.6368,0.7167,0.6,0.118,0,32300,41472
Golden Gate University,CA,8,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,601,0.3228,0.2047,0.2213,0.1048,0.015,0.3625730994,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.027,0,82300,87434
Graduate Theological Union,CA,8,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,NA,NA,NA,NA,NA,NA,PS,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0,NA,NA
Harvey Mudd College,CA,8,Private nonprofit,0,0,0.1336,720,735,770,760,785,790,In-person,906,0.2528,0.0596,0.2097,0.2241,0.0044,0.137254902,82236,62817,62817,0.9202,0.9178,0.8571,0.8511,0.9714,NA,0,0,104200,138687
Holy Names University,CA,8,Private nonprofit,0,0,1,NA,NA,NA,NA,NA,NA,In-person,564,0.1436,0.1862,0.2908,0.0851,0.0035,0.3562091503,55459,42115,42115,0.5368,0.1667,0.4444,0.5263,0.7273,NA,0.038,0,57600,76410
Pacifica Graduate Institute,CA,8,Private for-profit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.021,0,NA,NA
California State Polytechnic University-Humboldt,CA,8,Public,0,0,0.9818,NA,NA,NA,NA,NA,NA,In-person,5373,0.5025,0.0303,0.30620000000000003,0.027,0.0169,0.5325755475,24202,7864,19744,0.4555,0.5141,0.3725,0.3963,0.4516,0.2727,0.098,0,40100,47626
Humphreys University-Stockton and Modesto Campuses,CA,8,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,158,0.2215,0.0633,0.4241,0.0823,0.0063,0.6962025316,28850,14760,14760,0.75,0.6667,NA,0.75,NA,NA,0.098,0,33200,39248
Interior Designers Institute,CA,8,Private for-profit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,96,0.6146,0.0417,0.1458,0.1146,0.0104,0.4810126582,35958,20250,20250,1,1,NA,NA,NA,NA,0.053,0,46300,54974
American Jewish University,CA,8,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,15,0.6,0.0667,0.2667,0,0,0.5833333333,NA,NA,NA,0.5,0,0,NA,NA,NA,0.021,0,PS,61954
Life Pacific University,CA,8,Private nonprofit,0,0,0.9448,NA,NA,NA,NA,NA,NA,In-person,395,0.4101,0.0658,0.3646,0.0405,0.0076,0.392971246,32241,19140,19140,0.4667,0.4118,0.5,0.4828,1,NA,0.04,0,34400,43299
University of La Verne,CA,8,Private nonprofit,0,0,0.7351,510,518,650,460,503,653,In-person,3363,0.1653,0.0758,0.623,0.0508,0.0018,0.4299229152,59394,47000,47000,0.6322,0.6408,0.5217,0.6364,0.7407,1,0.027,0,52700,65464
Laguna College of Art and Design,CA,8,Private nonprofit,0,0,0.8837,NA,NA,NA,NA,NA,NA,In-person,729,0.4636,0.0247,0.2222,0.1509,0.0055,0.3381642512,54255,34600,34600,0.631,0.575,1,0.6667,0.6842,NA,0.072,0,41400,47867
Latin American Bible Institute,CA,8,Private nonprofit,0,0,1,NA,NA,NA,NA,NA,NA,In-person,45,0,0,1,0,0,NA,13845,10520,10520,0.4211,NA,NA,0.4211,NA,NA,NA,NA,NA,NA
Life Chiropractic College West,CA,8,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.019,0,NA,NA
Lincoln University,CA,8,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,177,0.1017,0.5311,0.0452,0.0282,0,PS,34141,11420,11420,0.8125,0,1,1,1,NA,0.093,NA,PS,53695
Southern California Seminary,CA,8,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,31,0.4839,0.1613,0.2258,0.0645,0,PS,NA,18240,18240,0,0,NA,NA,NA,NA,0.039,0,PS,39607
La Sierra University,CA,8,Private nonprofit,0,0,0.9185,NA,515,NA,NA,495,NA,In-person,1216,0.0938,0.0617,0.5247,0.1719,0.0016,0.3987473904,46981,34902,34902,0.5385,0.4857,0.25,0.4966,0.7347,0,0.033,0,54600,61824
Loma Linda University,CA,8,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,910,0.2198,0.033,0.4187,0.2484,0,0.5056910569,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018,0,93600,89816
Southern California University of Health Sciences,CA,8,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,114,0.2544,0.0789,0.3596,0.1754,0,0.6081081081,NA,13215,13215,1,1,NA,NA,NA,NA,0.032,0,PS,70649
The Master's University and Seminary,CA,8,Private nonprofit,0,0,0.7818,NA,NA,NA,NA,NA,NA,In-person,1496,0.6257,0.0187,0.2126,0.0455,7e-4,0.2288135593,43642,32870,32870,0.7326,0.7541,0.6,0.9167,0.625,NA,0.025,0,52100,57106
Loyola Marymount University,CA,8,Private nonprofit,0,0,0.4131,650,660,720,650,675,740,In-person,7138,0.4116,0.0709,0.2358,0.1004,4e-4,0.2690829215,72553,55926,55926,0.8152,0.8044,0.8132,0.8239,0.8561,NA,0.033,0,71600,78349
Menlo College,CA,8,Private nonprofit,0,0,0.6172,NA,NA,NA,NA,NA,NA,In-person,786,0.1692,0.0356,0.3104,0.0878,0.0076,0.3291139241,63412,49090,49090,0.5695,0.5556,0.5833,0.5897,0.6,NA,0.083,0,59700,76419
MiraCosta College,CA,8,Public,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,10094,0.3496,0.0349,0.4385,0.066,0.0033,0.6894828336,13016,1152,8448,0.4262,0.4815,0.2667,0.3683,0.4615,0.5,0.059,0,34300,43845
Modesto Junior College,CA,8,Public,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,14655,0.3337,0.0343,0.544,0.0602,0.0057,0.6947576958,19523,1276,7308,0.2473,0.2939,0.1724,0.2229,0.3108,0,0,NA,36100,42368
Middlebury Institute of International Studies at Monterey,CA,8,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,13,0.6154,0,0.1538,0.0769,0,0.3042671614,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014,0,71900,76310
Mount Saint Mary's University,CA,8,Private nonprofit,0,0,0.7576,NA,NA,NA,NA,NA,NA,In-person,1778,0.0883,0.0647,0.5624,0.1766,0.0011,0.423572744,62383,46740,46740,0.5959,0.5556,0.5714,0.5859,0.622,0,0.045,0,63500,72379
Musicians Institute,CA,8,Private for-profit,0,0,0.7845,NA,NA,NA,NA,NA,NA,In-person,785,0.2255,0.0662,0.1032,0.0815,0.0051,0.5607028754,40574,24795,24795,0.4773,0.4203,0.2308,0.44,0.3333,NA,0.053,0,36900,32778
National University,CA,8,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,7993,0.3058,0.1245,0.322,0.0707,0.005,0.4644298152,36459,13320,13320,0.2222,0,NA,0,0,NA,0.051,0,59000,67548
Naval Postgraduate School,CA,0,Public,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newschool of Architecture and Design,CA,8,Private for-profit,0,0,0.4495,NA,NA,NA,NA,NA,NA,In-person,229,0.3493,0.0655,0.3013,0.1004,0.0175,0.642384106,56958,30291,30291,0.4167,0.7143,NA,0.0833,NA,NA,0.055,0,55100,68891
San Francisco Bay University,CA,8,Private nonprofit,0,0,0.6943,NA,NA,NA,NA,NA,NA,In-person,24,0,0,0,0.125,0,NA,NA,8720,8720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Notre Dame de Namur University,CA,8,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,0,0,0,0,0,0,0.3667296786,NA,NA,NA,0.4744,0.28,0.25,0.5632,0.6667,1,0.045,0,63900,74576
Occidental College,CA,8,Private nonprofit,0,0,0.394,690,705,750,680,710,760,In-person,1935,0.4884,0.0398,0.1664,0.1349,0,0.2112676056,77878,60566,60566,0.8267,0.8651,0.8438,0.7541,0.8514,NA,0.022,0,59400,75951
Otis College of Art and Design,CA,8,Private nonprofit,0,0,0.8329,NA,655,NA,NA,590,NA,In-person,1264,0.2247,0.0641,0.2002,0.1669,0.0016,0.4071856287,68808,52460,52460,0.6158,0.6415,0.4,0.8,0.6047,0.3333,0.088,0,52400,58152
Hope International University,CA,8,Private nonprofit,0,0,0.3222,NA,520,NA,NA,570,NA,In-person,590,0.3034,0.0847,0.261,0.0441,0.0085,0.359223301,49503,35700,35700,0.5,0.5217,0.6667,0.5,0,0,0.044,0,40700,49697
Palo Alto University,CA,8,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,32,0.25,0.0625,0.3125,0.2188,0,0.6875,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.051,0,PS,83187
Pacific Oaks College,CA,8,Private nonprofit,0,0,0.3968,NA,NA,NA,NA,NA,NA,In-person,398,0.1658,0.1357,0.5251,0.0477,0.005,0.5823045267,NA,11692,11692,NA,NA,NA,NA,NA,NA,0.06,0,43100,52485
Pacific School of Religion,CA,8,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,NA,NA,NA,NA,NA,NA,PS,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.097,0,NA,NA
Pacific States University,CA,8,Private nonprofit,0,0,0.3333,NA,NA,NA,NA,NA,NA,In-person,8,0,0,0,0,0,PS,NA,7530,7530,0.1429,NA,NA,NA,NA,NA,0.09,0,PS,NA
Pacific Union College,CA,8,Private nonprofit,0,0,0.4846,510,NA,610,480,NA,590,In-person,772,0.2021,0.0635,0.2979,0.2539,0.0013,0.3149078727,45219,33678,33678,0.4661,0.5,0.2353,0.4722,0.4857,0,0.048,0,61700,70484
University of the Pacific,CA,8,Private nonprofit,0,0,0.9323,560,620,680,560,630,743,In-person,3266,0.1849,0.0395,0.2563,0.3573,0.0018,0.3513097072,64996,53682,53682,0.7372,0.6104,0.5,0.6866,0.8396,NA,0.027,0,84200,78445
Pepperdine University,CA,8,Private nonprofit,0,0,0.4871,650,670,730,635,680,750,In-person,3656,0.4551,0.0391,0.1841,0.14,0.0019,0.2591493571,80152,63142,63142,0.8398,0.8376,0.8214,0.913,0.8,0.8,0.013,0,77600,82939
Pitzer College,CA,8,Private nonprofit,0,0,0.184,NA,NA,NA,NA,NA,NA,In-person,1212,0.4868,0.0462,0.132,0.1205,0.005,0.2777777778,79558,60578,60578,0.8545,0.873,0.9375,0.8333,0.9167,NA,0.015,0,51500,69512
Platt College-San Diego,CA,8,Private for-profit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,69,0.2464,0.2464,0.2609,0.1449,0,0.6260162602,33745,15310,15310,0.8667,0.8,NA,0.8462,1,NA,0.08,NA,44800,49782
Point Loma Nazarene University,CA,8,Private nonprofit,0,0,0.8193,NA,640,NA,NA,620,NA,In-person,3149,0.5326,0.0222,0.2569,0.0705,0.0029,0.2907063197,54207,41100,41100,0.7593,0.7781,0.5714,0.7168,0.7708,1,0.018,0,54400,63998
Pomona College,CA,8,Private nonprofit,0,0,0.0702,730,750,770,750,770,790,In-person,1699,0.3161,0.1006,0.1589,0.1736,0.0024,0.3698113208,77810,59238,59238,0.9463,0.9388,0.8864,0.9672,0.9697,1,0,0,77300,77779
Santa Ana College,CA,8,Public,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,20309,0.1774,0.017,0.5407,0.0752,0.0018,0.632045929,10439,1180,8788,0.2674,0.4638,0.375,0.2281,0.5823,0,0.136,0,39400,43552
Pardee RAND Graduate School,CA,8,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
University of Redlands,CA,8,Private nonprofit,0,0,0.8187,563,615,650,550,580,628,In-person,2301,0.3768,0.0461,0.4224,0.0508,0.007,0.2804674457,70206,55678,55678,0.669,0.6528,0.5556,0.7,0.6923,0.2857,0.023,0,57700,72690
Rio Hondo College,CA,8,Public,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,14394,0.0682,0.0179,0.7591,0.0531,0.0019,0.6835443038,11678,1388,9884,0.2471,0.2727,0.25,0.2314,0.4839,NA,0.077,0,40500,44950
Dongguk University Los Angeles,CA,8,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,2,0,0,0,1,0,PS,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.044,0,PS,NA
Samuel Merritt University,CA,8,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,674,0.2389,0.0786,0.2478,0.316,0.003,0.4829443447,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006,0,111200,143238
San Diego Mesa College,CA,8,Public,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,14882,0.2864,0.0663,0.3992,0.148,0.0021,0.6959687445,14035,1144,7440,0.3378,0.3712,0.2093,0.2883,0.4568,0,0.121,0,43100,45120
San Diego State University,CA,8,Public,0,0,0.3926,NA,NA,NA,NA,NA,NA,In-person,31810,0.3478,0.0397,0.3516,0.1337,0.0021,0.4663084363,23482,8174,20054,0.7801,0.8114,0.7358,0.7456,0.8055,0.7059,0.042,0,55900,64909
University of San Diego,CA,8,Private nonprofit,0,0,0.5261,NA,NA,NA,NA,NA,NA,In-person,5569,0.4692,0.0388,0.2433,0.0754,0.0027,0.2735988201,72092,54554,54554,0.8262,0.8189,0.7805,0.892,0.8333,0,0.02,0,71100,86522
San Francisco Conservatory of Music,CA,8,Private nonprofit,0,0,0.4158,NA,NA,NA,NA,NA,NA,In-person,221,0.3213,0.0407,0.0995,0.0724,0,0.3389830508,73761,52800,52800,0.6296,0.5333,0.3333,0.8333,1,NA,0.007,0,30800,NA
San Francisco State University,CA,8,Public,0,0,0.942,NA,NA,NA,NA,NA,NA,In-person,21035,0.1605,0.0612,0.3978,0.2529,0.0014,0.5130177515,23609,7524,19404,0.5469,0.5762,0.4845,0.4857,0.6352,0.3333,0.067,0,54700,68077
University of San Francisco,CA,8,Private nonprofit,0,0,0.7118,610,645,700,600,645,710,In-person,5980,0.2388,0.0773,0.2132,0.2602,0.0017,0.2959850607,73981,55532,55532,0.7437,0.6901,0.6731,0.7655,0.8408,0,0.046,0,74000,89812
San Joaquin College of Law,CA,8,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.041,0,NA,NA
San Joaquin Valley College-Visalia,CA,8,Private for-profit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,2144,0.2169,0.0718,0.569,0.0611,0.0131,0.7101957678,NA,NA,NA,0.3243,0.3743,0.2472,0.3122,0.4167,0.5,0.186,0,33400,38317
William Jessup University,CA,8,Private nonprofit,0,0,0.6592,490,NA,590,530,NA,640,In-person,1123,0.4604,0.0828,0.2467,0.0329,0.0107,0.3617363344,53732,37150,37150,0.5152,0.5946,0.3889,0.4,0.4444,0.6667,0.029,0,45100,56257
San Jose State University,CA,8,Public,0,0,0.7671,NA,NA,NA,NA,NA,NA,In-person,26735,0.1278,0.0361,0.3135,0.3924,8e-4,0.4956808943,24114,7899,19779,0.6842,0.6824,0.5207,0.5883,0.7909,0.25,0.032,0,63800,78988
Santa Clara University,CA,8,Private nonprofit,0,0,0.5211,640,685,720,650,725,760,In-person,6103,0.3983,0.0311,0.1847,0.2104,7e-4,0.1784274194,75576,57534,57534,0.8852,0.8792,0.9318,0.9027,0.9116,1,0.02,0,85300,109183
Santa Monica College,CA,8,Public,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,20376,0.2505,0.0874,0.4194,0.0898,0.0013,0.7194737563,11194,1150,9094,0.3223,0.3466,0.1704,0.2145,0.4439,0,0.055,0,40200,42193
Saybrook University,CA,8,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.035,0,NA,NA
Scripps College,CA,8,Private nonprofit,0,0,0.2791,710,730,760,680,720,750,In-person,1073,0.5405,0.0401,0.1295,0.1286,0,0.1912568306,79740,60712,60712,0.8407,0.8418,0.8571,0.8929,0.8298,NA,0,0,61800,77539
Shasta Bible College and Graduate School,CA,8,Private nonprofit,0,0,1,NA,NA,NA,NA,NA,NA,In-person,24,0.8333,0,0.1667,0,0,PS,23673,14460,14460,0.5,0.6667,NA,NA,0,NA,0,0.115,PS,28891
Shasta College,CA,8,Public,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,4754,0.6195,0.0229,0.1891,0.0435,0.0206,0.7439100562,13165,1191,8271,0.3129,0.3257,0.3,0.217,0.35,0.3333,0.133,0,34100,39269
Trinity Law School,CA,8,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,NA,NA,NA,NA,NA,NA,0.3794466403,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.047,0,45400,46989
Simpson University,CA,8,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,704,0.4929,0.0241,0.25,0.0511,0.0185,0.4550359712,52041,37480,37480,0.4655,0.4688,0.4,0.4,0.75,0,0.041,0,39900,54340
Skyline College,CA,8,Public,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,6038,0.1915,0.0225,0.3276,0.3102,0.0012,0.6700832799,10564,1362,9508,0.4012,0.375,0.25,0.3415,0.4806,1,0.063,0,45600,55702
Saint Mary's College of California,CA,8,Private nonprofit,0,0,0.8789,NA,NA,NA,NA,NA,NA,In-person,1994,0.3816,0.0697,0.3079,0.162,0.0115,0.1956087824,71268,53932,53932,0.7206,0.7615,0.6,0.6792,0.7813,1,0.03,0,63600,78812
